"ctry_code";"techn_field_nr";"RCA_Gen";"RCA_AI";"Period";"Label";"Round_general";"Round_AI";"Total_RCA"
"CN";7;0,7324892556598;1,0308507112322;"2004-2018";"IT methods for management";0;1;1
"CN";8;0,46080030845906;0,483698186957148;"2004-2018";"Semiconductors";0;0;0
"CN";9;0,456382517729349;0,591186672947625;"2004-2018";"Optics";0;0;0
"JP";1;1,29538098973363;1,32441317556764;"2004-2018";"Electrical machinery, apparatus, energy";1;1;2
"JP";10;0,872822534729532;0,973796922590087;"2004-2018";"Measurement";0;0;0
"JP";11;0,528647144895226;0,954094961642131;"2004-2018";"Analysis of biological materials";0;0;0
"JP";12;0,895788817371231;1,11662693277025;"2004-2018";"Control";0;1;1
"JP";13;0,807172267259241;1,31243527863098;"2004-2018";"Medical technology";0;1;1
"JP";14;0,578500402396342;3,33933236574746;"2004-2018";"Organic fine chemistry";0;1;1
"JP";15;0,408549731030875;2,05323814380418;"2004-2018";"Biotechnology";0;1;1
"JP";16;0,209377391785119;2,28480635551142;"2004-2018";"Pharmaceuticals";0;1;1
"JP";17;1,06811022382439;0;"2004-2018";"Macromolecular chemistry, polymers";1;0;1
"JP";18;0,299232548328648;1,14240317775571;"2004-2018";"Food chemistry";0;1;1
"JP";19;0,579814108398825;0;"2004-2018";"Basic materials chemistry ";0;0;0
"JP";2;1,74635787473473;1,54009120194118;"2004-2018";"Audio-visual technology";1;1;2
"JP";20;0,685456395670308;1,71360476663357;"2004-2018";"Materials, metallurgy";0;1;1
